Time,AccelerationX [m/s2],AccelerationY [m/s2],AccelerationZ [m/s2],Celsius [deg]
17:31:56,-0.24,-0.02,-10.02,23.4
17:31:56,-0.12,0.07,-10.04,23.4
17:31:56,-0.16,-0.04,-10.13,23.4
17:31:56,-0.20,-0.10,-9.96,23.4
17:31:56,-0.30,0.07,-10.12,23.4
17:31:56,-0.17,0.08,-10.01,23.4
17:31:56,-0.13,-0.04,-9.97,23.4
17:31:56,-0.13,0.03,-10.10,23.4
17:31:56,-0.10,0.02,-10.04,23.4
17:31:56,-0.16,-0.07,-10.11,23.4
17:31:56,-0.18,0.01,-10.01,23.4
17:31:56,-0.12,-0.02,-9.98,23.4
17:31:56,-0.25,-0.05,-10.08,23.4
17:31:56,-0.22,0.02,-9.97,23.4
17:31:56,-0.21,0.06,-10.07,23.4
17:31:56,-0.15,0.02,-10.12,23.4
17:31:56,-0.22,0.05,-10.07,23.4
17:31:56,-0.19,-0.04,-10.03,23.4
17:31:56,-0.17,0.05,-10.06,23.4
17:31:56,-0.11,0.14,-10.14,23.4
17:31:56,-0.13,-0.07,-10.06,23.4
17:31:56,-0.22,0.01,-10.10,23.4
17:31:56,-0.21,0.02,-10.07,23.4
17:31:56,-0.25,0.02,-10.13,23.4
17:31:56,-0.18,-0.08,-10.13,23.4
17:31:56,-0.22,0.02,-10.11,23.4
17:31:56,-0.19,0.08,-9.93,23.4
17:31:56,-0.21,-0.01,-10.05,23.4
17:31:56,-0.09,0.03,-10.12,23.4
17:31:56,-0.16,-0.04,-10.02,23.4
17:31:56,-0.19,0.10,-10.05,23.4
17:31:56,-0.17,-0.10,-10.06,23.4
17:31:56,-0.09,-0.02,-10.13,23.4
17:31:56,-0.15,-0.03,-9.99,23.4
17:31:56,-0.20,0.03,-10.13,23.4
17:31:56,-0.23,0.03,-10.02,23.4
17:31:56,-0.20,-0.04,-9.92,23.4
17:31:56,-0.26,0.09,-10.10,23.4
17:31:56,-0.16,-0.03,-10.17,23.4
17:31:56,-0.07,-0.03,-10.01,23.4
17:31:56,-0.15,0.03,-10.02,23.4
17:31:56,-0.22,-0.07,-10.10,23.4
17:31:56,-0.14,-0.03,-10.04,23.4
17:31:56,-0.30,-0.10,-10.05,23.4
17:31:56,-0.15,0.01,-10.07,23.4
17:31:56,-0.18,-0.07,-10.00,23.4
17:31:56,-0.24,0.06,-10.12,23.4
17:31:56,-0.20,0.03,-10.08,23.4
17:31:56,-0.19,0.04,-10.09,23.4
17:31:56,-0.18,-0.03,-10.03,23.4
17:31:56,-0.16,0.02,-10.08,23.4
17:31:56,-0.22,-0.02,-10.10,23.4
17:31:56,-0.21,0.06,-10.02,23.4
17:31:56,-0.20,-0.01,-10.07,23.4
17:31:56,-0.13,0.00,-10.01,23.4
17:31:56,-0.18,-0.01,-10.12,23.4
17:31:56,-0.21,-0.05,-10.08,23.4
17:31:56,-0.17,0.00,-10.05,23.4
17:31:56,-0.17,-0.08,-10.02,23.4
17:31:56,-0.16,0.00,-10.13,23.4
17:31:56,-0.16,0.08,-10.11,23.4
17:31:56,-0.18,-0.03,-10.01,23.4
17:31:56,-0.17,0.09,-10.03,23.4
17:31:56,-0.18,0.14,-10.06,23.4
17:31:56,-0.25,0.14,-10.06,23.4
17:31:56,-0.07,-0.03,-9.97,23.4
17:31:56,-0.09,0.01,-10.03,23.4
17:31:56,-0.12,-0.08,-10.05,23.4
