Time,AccelerationX [m/s2],AccelerationY [m/s2],AccelerationZ [m/s2],Celsius [deg]
19:16:03,-0.49,0.09,-10.00,24.7
19:16:03,-0.48,0.07,-10.04,24.7
19:16:03,-0.51,0.09,-10.01,24.7
19:16:03,-0.47,0.10,-10.00,24.7
19:16:03,-0.49,0.07,-9.99,24.7
19:16:04,-0.50,0.10,-10.02,24.7
19:16:04,-0.49,0.12,-9.99,24.7
19:16:04,-0.50,0.09,-10.01,24.7
19:16:04,-0.48,0.08,-10.03,24.7
19:16:04,-0.49,0.08,-10.00,24.7
19:16:05,-0.50,0.07,-10.03,24.7
19:16:05,-0.49,0.10,-10.02,24.7
19:16:05,-0.49,0.08,-10.02,24.7
19:16:05,-0.49,0.08,-10.02,24.7
19:16:05,-0.49,0.08,-10.02,24.7
19:16:06,-0.50,0.10,-10.00,24.7
19:16:06,-0.49,0.08,-10.00,24.7
19:16:06,-0.49,0.09,-10.00,24.7
19:16:06,-0.48,0.10,-10.03,24.7
19:16:06,-0.50,0.07,-9.99,24.7
19:16:07,-0.49,0.08,-9.97,24.7
19:16:07,-0.49,0.08,-10.02,24.7
19:16:07,-0.50,0.06,-10.02,24.7
19:16:07,-0.49,0.08,-10.02,24.7
19:16:07,-0.49,0.07,-10.00,24.7
19:16:08,-0.50,0.10,-10.01,24.7
19:16:08,-0.45,0.07,-10.02,24.7
19:16:08,-0.49,0.07,-10.02,24.7
19:16:08,-0.50,0.07,-10.01,24.7
19:16:08,-0.49,0.11,-9.99,24.7
19:16:09,-0.50,0.08,-10.00,24.7
19:16:09,-0.50,0.07,-9.98,24.7
19:16:09,-0.50,0.09,-10.00,24.7
19:16:09,-0.50,0.11,-10.00,24.7
19:16:09,-0.49,0.08,-10.02,24.7
19:16:10,-0.51,0.09,-10.00,24.7
19:16:10,-0.49,0.09,-10.01,24.7
19:16:10,-0.50,0.10,-10.01,24.7
19:16:10,-0.50,0.09,-10.01,24.7
19:16:10,-0.49,0.08,-10.01,24.7
19:16:11,-0.49,0.08,-10.00,24.7
19:16:11,-0.50,0.09,-10.01,24.7
19:16:11,-0.49,0.08,-10.00,24.7
19:16:11,-0.51,0.09,-10.03,24.7
19:16:11,-0.48,0.09,-10.02,24.7
19:16:12,-0.50,0.08,-10.00,24.7
19:16:12,-0.50,0.08,-10.00,24.7
19:16:12,-0.49,0.09,-10.00,24.7
19:16:12,-0.47,0.08,-10.01,24.7
19:16:12,-0.49,0.09,-10.02,24.7
19:16:13,-0.51,0.08,-10.00,24.7
19:16:13,-0.49,0.08,-10.01,24.7
19:16:13,-0.49,0.09,-10.02,24.7
19:16:13,-0.50,0.06,-10.02,24.7
19:16:13,-0.49,0.08,-10.01,24.7
19:16:14,-0.50,0.07,-9.99,24.7
19:16:14,-0.49,0.09,-10.01,24.7
19:16:14,-0.49,0.09,-9.99,24.7
19:16:14,-0.48,0.09,-10.01,24.7
19:16:14,-0.51,0.07,-10.01,24.7
19:16:15,-0.47,0.08,-10.00,24.7
19:16:15,-0.49,0.09,-10.00,24.7
19:16:15,-0.50,0.07,-10.03,24.7
19:16:15,-0.49,0.09,-10.03,24.7
19:16:15,-0.47,0.08,-10.01,24.7
19:16:16,-0.48,0.07,-10.00,24.7
19:16:16,-0.50,0.07,-10.02,24.7
