Time,AccelerationX [m/s2],AccelerationY [m/s2],AccelerationZ [m/s2],Celsius [deg],Healthy
15:56:59,0.02,0.56,-10.23,27.4,1
15:56:59,0.23,0.11,-9.42,27.4,0
15:56:59,0.03,0.26,-10.26,27.4,1
15:56:59,0.1,0.02,-10.99,27.4,0
15:56:59,0.28,0.04,-9.96,27.4,1
15:56:59,-0.34,0.31,-10.17,27.4,0
15:56:59,0.59,-0.35,-9.3,27.4,1
15:56:59,-0.17,-0.18,-9.81,27.4,0
15:56:59,0.2,-0.26,-9.08,27.4,1
15:56:59,-0.19,0.15,-10.41,27.4,1
15:56:59,0.42,-0.36,-10.32,27.4,1
15:56:59,0.2,0.08,-10.02,27.4,1
15:56:59,0.04,0.53,-10.23,27.4,1
15:56:59,0.3,-0.21,-9.22,27.4,1
15:56:59,-0.18,-0.51,-9.67,27.4,1
15:56:59,0.28,0.05,-9.34,27.4,1
15:56:59,-0.35,0.22,-11,27.4,1
15:56:59,0.52,-0.07,-10.09,27.4,1
15:56:59,-0.08,0.51,-10.52,27.4,1
15:56:59,0.31,0.18,-9.7,27.4,1
15:56:59,0.1,-0.19,-9.32,27.4,1
15:56:59,0.02,-0.28,-9.44,27.4,1
15:56:59,0.25,0.02,-9.82,27.4,1
15:56:59,-0.16,0.19,-10.98,27.4,1
15:56:59,0.4,0.26,-9.99,27.4,1
15:56:59,-0.15,0.09,-10.15,27.4,1
15:56:59,0.49,-0.51,-9.26,27.4,0
15:56:59,-0.07,-0.25,-9.62,27.4,0
15:56:59,0.15,-0.24,-9.04,27.4,0
15:56:59,0.02,0.3,-10.33,27.4,0
15:56:59,0.1,0.01,-10.94,27.4,0
15:56:59,0.3,0.06,-10,27.4,0
15:56:59,-0.3,0.09,-10.02,27.4,0
15:56:59,0.61,-0.42,-9.2,27.4,0
15:56:59,-0.27,-0.26,-9.84,27.4,0
15:56:59,0.27,-0.11,-9.18,27.4,0
15:56:59,-0.07,0.2,-10.57,27.4,0
15:56:59,0.41,-0.13,-10.31,27.4,0
15:56:59,0.15,0.06,-10.1,27.4,0
15:56:59,0.04,0.61,-10.15,27.4,0
15:56:59,0.24,-0.21,-9.38,27.4,0
15:56:59,-0.17,-0.52,-9.7,27.4,0
15:56:59,0.25,0.18,-9.46,27.4,0
15:56:59,-0.34,0.12,-10.93,27.4,0
15:56:59,0.53,0.04,-10.12,27.4,0
15:56:59,-0.11,0.47,-10.53,27.4,0
15:56:59,0.31,0.1,-9.69,27.4,0
15:56:59,0.04,-0.34,-9.35,27.4,0
15:56:59,-0.06,-0.31,-9.49,27.4,0
15:56:59,0.41,0.14,-9.86,27.4,0
15:57:00,-0.26,0.06,-10.99,27.4,0
15:57:00,0.36,0.22,-10.08,27.4,0
15:57:00,-0.09,0.25,-10.28,27.4,0
15:57:00,0.43,-0.55,-9.22,27.4,0
15:57:00,-0.01,-0.23,-9.61,27.4,0
15:57:00,0.22,-0.33,-8.95,27.4,0
15:57:00,-0.05,0.21,-10.28,27.4,0
15:57:00,0.13,-0.07,-10.97,27.4,0
15:57:00,0.21,0.02,-10.04,27.4,0
15:57:00,-0.27,0.25,-10.06,27.4,1
15:57:00,0.48,-0.36,-9.24,27.4,1
15:57:00,-0.16,-0.23,-9.93,27.4,1
15:57:00,0.19,-0.12,-9.13,27.4,1
15:57:00,-0.08,0.19,-10.57,27.4,1
15:57:00,0.32,-0.24,-10.32,27.4,1
15:57:00,0.08,0.04,-10.19,27.4,1
15:57:00,0.04,0.55,-10.18,27.4,1
15:57:00,0.27,-0.2,-9.37,27.4,1
15:57:00,-0.11,-0.55,-9.66,27.4,1
15:57:00,0.31,0.16,-9.35,27.4,1
15:57:00,-0.32,0.05,-10.99,27.4,1
15:57:00,0.46,0.03,-10.08,27.4,1
15:57:00,-0.12,0.62,-10.66,27.4,1
15:57:00,0.27,0.17,-9.75,27.4,1
15:57:00,0.11,-0.32,-9.34,27.4,1
15:57:00,0.05,-0.43,-9.46,27.4,1
15:57:00,0.35,0.1,-9.91,27.4,1
15:57:00,-0.16,0.14,-10.92,27.4,1
15:57:00,0.56,0.25,-10.13,27.4,1
15:57:00,-0.16,0.25,-10.21,27.4,1
15:57:00,0.47,-0.51,-9.22,27.4,1
15:57:00,-0.12,-0.23,-9.73,27.4,1
15:57:00,0.11,-0.25,-8.96,27.4,1
15:57:00,-0.09,0.25,-10.29,27.4,1
15:57:00,0.13,-0.11,-10.99,27.4,1
15:57:00,0.2,-0.05,-10.01,27.4,1
15:57:00,-0.28,0.17,-10.12,27.4,1
15:57:00,0.64,-0.34,-9.22,27.4,1
15:57:00,-0.27,-0.32,-9.97,27.4,1
15:57:00,0.13,-0.08,-9.11,27.4,1
15:57:00,-0.09,0.21,-10.56,27.4,1
15:57:00,0.34,-0.17,-10.27,27.4,1
15:57:00,0.25,0.22,-10.35,27.4,1
15:57:00,0.1,0.58,-10.19,27.4,1
15:57:00,0.29,-0.17,-9.39,27.4,1
15:57:00,-0.15,-0.47,-9.62,27.4,1
15:57:00,0.17,0.01,-9.39,27.4,1
15:57:00,-0.45,0.2,-11.03,27.4,1
